,0
PAXGUSDT,0.7484407484407485
OMUSDT,0.66106442577031
WBTCUSDT,0.3015131882861357
BTCUSDT,0.0362742757083795
FDUSDUSDT,0.010027073097361776
TUSDUSDT,0.0
BNBUSDT,0.0
USDCUSDT,0.0
ELFUSDT,-0.06624710168929379
AMPUSDT,-0.06849315068492574
MKRUSDT,-0.11123470522803114
RAYUSDT,-0.29673590504451064
SFPUSDT,-0.31290001422272506
TRXUSDT,-0.3350083752093898
ZECUSDT,-0.38167938931296896
SCUSDT,-0.458452722063036
XRPUSDT,-0.5344021376085534
ETHUSDT,-0.5898128141662935
TFUELUSDT,-0.6060606060606137
JSTUSDT,-0.6065507480792454
ENSUSDT,-0.6738544474393507
GUSDT,-0.72388831437436
ZROUSDT,-0.7327285415212808
AAVEUSDT,-0.7414854844790615
SOLUSDT,-0.7471114586048123
UNIUSDT,-0.7686243594796945
BLURUSDT,-0.784655623365299
XECUSDT,-0.7936507936507924
ICPUSDT,-0.8727606798346271
XTZUSDT,-0.8912655971479508
AXSUSDT,-0.9054325955734414
ETCUSDT,-0.924784217016021
DOTUSDT,-0.933333333333337
BONKUSDT,-0.955223880597026
JASMYUSDT,-0.9561304836895388
OSMOUSDT,-0.9590792838874688
MINAUSDT,-0.9688784497944877
VETUSDT,-0.9698825931597713
COMPUSDT,-0.9915014164305789
ROSEUSDT,-1.0309278350515383
TAOUSDT,-1.0356731875719283
MANTAUSDT,-1.0452961672473877
MANAUSDT,-1.0719071013845403
EOSUSDT,-1.0840761262346432
CKBUSDT,-1.0939209251445499
FLOWUSDT,-1.0989010989010999
GRTUSDT,-1.1111111111111192
CRVUSDT,-1.1144883485308916
IOTAUSDT,-1.1162790697674352
GLMUSDT,-1.1163589523400563
ATOMUSDT,-1.1230585424133743
ALGOUSDT,-1.1293634496919958
NEOUSDT,-1.1523687580025592
SHIBUSDT,-1.1607142857142747
FETUSDT,-1.1734028683181237
ARBUSDT,-1.1743851096831313
KAVAUSDT,-1.176470588235295
PYTHUSDT,-1.17801047120418
THETAUSDT,-1.1840688912809483
1INCHUSDT,-1.2068965517241486
STXUSDT,-1.216333622936578
SEIUSDT,-1.2269938650306706
LDOUSDT,-1.2307692307692317
SNXUSDT,-1.2313104661389633
WOOUSDT,-1.240035429583701
JTOUSDT,-1.246261216350932
ENAUSDT,-1.250000000000001
ASTRUSDT,-1.2552301255230194
XLMUSDT,-1.2594458438287164
BCHUSDT,-1.266268026732333
ZRXUSDT,-1.268498942917537
AVAXUSDT,-1.2728278915329299
CAKEUSDT,-1.2769353551476292
GNOUSDT,-1.2772351615326738
PEOPLEUSDT,-1.2772517066725328
JUPUSDT,-1.2906926717338316
RUNEUSDT,-1.3242527430949564
ZILUSDT,-1.334519572953744
RPLUSDT,-1.33744855967079
OPUSDT,-1.3464991023339428
DASHUSDT,-1.3754457463066714
IMXUSDT,-1.3756613756613654
MATICUSDT,-1.379310344827578
ZKUSDT,-1.416765053128681
TIAUSDT,-1.47342995169082
HBARUSDT,-1.4861995753715629
DYMUSDT,-1.4970059880239535
SANDUSDT,-1.52354570637119
WUSDT,-1.5294117647058934
NOTUSDT,-1.5401540154015536
CHZUSDT,-1.5418502202643307
GALAUSDT,-1.543859649122805
DEXEUSDT,-1.550142360012652
WLDUSDT,-1.5703069236259828
ADAUSDT,-1.570680628272253
LUNCUSDT,-1.5724381625441695
ARUSDT,-1.5761821366024493
GMTUSDT,-1.583710407239833
BOMEUSDT,-1.5945330296127551
SUIUSDT,-1.6363999201756105
ILVUSDT,-1.6469942355201797
LTCUSDT,-1.6471940241333065
NEXOUSDT,-1.6489988221437002
DOGEUSDT,-1.6715371127995333
FILUSDT,-1.6722408026755942
AEVOUSDT,-1.6891891891891906
NEARUSDT,-1.7496229260935092
DYDXUSDT,-1.752464403066814
KLAYUSDT,-1.752677702044787
ORDIUSDT,-1.753597122302145
APTUSDT,-1.7738359201773852
AXLUSDT,-1.7946161515453598
LPTUSDT,-1.8048505358150044
STRKUSDT,-1.8072289156626522
MEMEUSDT,-1.8979833926453193
EGLDUSDT,-1.9180470793374074
CFXUSDT,-1.9444444444444486
FTMUSDT,-1.9992729916394054
WIFUSDT,-2.0052310374890943
APEUSDT,-2.008032128514058
IOTXUSDT,-2.0120724346076457
FLOKIUSDT,-2.0285573609059617
QNTUSDT,-2.095238095238098
PENDLEUSDT,-2.1276595744680926
LINKUSDT,-2.2248243559718914
KSMUSDT,-2.264927934111188
INJUSDT,-2.427184466019415
PEPEUSDT,-2.900763358778624
TWTUSDT,-3.0224642614023143
RENDERUSDT,-3.2727272727272725
